,Datetime,Open,High,Low,Close,Volume
0,2024-08-23 04:00:00,512.25,514.8,512.25,513.09,0
1,2024-08-23 04:05:00,513.12,513.17,513.07,513.1,0
2,2024-08-23 04:10:00,513.08,513.21,513.08,513.17,0
3,2024-08-23 04:15:00,513.16,513.23,513.08,513.15,0
4,2024-08-23 04:20:00,513.2,513.31,513.17,513.31,0
5,2024-08-23 04:25:00,513.26,513.26,513.18,513.24,0
6,2024-08-23 04:30:00,513.27,513.33,513.25,513.33,0
7,2024-08-23 04:35:00,513.26,513.35,513.26,513.34,0
8,2024-08-23 04:40:00,513.32,513.32,513.24,513.29,0
9,2024-08-23 04:45:00,513.37,513.54,513.37,513.52,0
10,2024-08-23 04:50:00,513.48,513.52,513.45,513.52,0
11,2024-08-23 04:55:00,513.56,513.56,513.53,513.53,0
12,2024-08-23 05:00:00,513.59,513.59,513.39,513.44,0
13,2024-08-23 05:05:00,513.46,513.47,513.38,513.38,0
14,2024-08-23 05:10:00,513.38,513.43,513.3,513.36,0
15,2024-08-23 05:15:00,513.37,513.46,513.37,513.39,0
16,2024-08-23 05:20:00,513.39,513.46,513.26,513.37,0
17,2024-08-23 05:25:00,513.38,513.46,513.38,513.46,0
18,2024-08-23 05:30:00,513.59,513.63,513.52,513.52,0
19,2024-08-23 05:35:00,513.57,513.72,513.57,513.72,0
20,2024-08-23 05:40:00,513.76,513.76,513.7,513.7,0
21,2024-08-23 05:45:00,513.7,513.7,513.7,513.7,0
22,2024-08-23 05:50:00,513.76,513.76,513.71,513.76,0
23,2024-08-23 05:55:00,513.7,513.76,513.68,513.76,0
24,2024-08-23 06:00:00,513.75,513.88,513.67,513.82,0
25,2024-08-23 06:05:00,513.93,513.93,513.87,513.87,0
26,2024-08-23 06:10:00,513.74,513.8,513.74,513.75,0
27,2024-08-23 06:15:00,513.81,513.81,513.8,513.81,0
28,2024-08-23 06:20:00,513.81,513.83,513.68,513.69,0
29,2024-08-23 06:25:00,513.64,513.67,513.6,513.6,0
30,2024-08-23 06:30:00,513.69,513.88,513.69,513.88,0
31,2024-08-23 06:35:00,513.92,514.0,513.92,513.99,0
32,2024-08-23 06:40:00,513.99,514.4,513.99,514.4,0
33,2024-08-23 06:45:00,514.35,514.35,514.18,514.18,0
34,2024-08-23 06:50:00,514.16,514.26,514.15,514.26,0
35,2024-08-23 06:55:00,514.23,514.23,514.16,514.16,0
36,2024-08-23 07:00:00,514.21,514.28,514.0,514.0,0
37,2024-08-23 07:05:00,514.114,514.21,514.114,514.21,0
38,2024-08-23 07:10:00,514.16,514.179,514.05,514.084,0
39,2024-08-23 07:15:00,514.139,514.139,513.99,514.024,0
40,2024-08-23 07:20:00,513.96,513.96,513.87,513.88,0
41,2024-08-23 07:25:00,513.88,513.98,513.88,513.96,0
42,2024-08-23 07:30:00,514.03,514.03,513.86,513.93,0
43,2024-08-23 07:35:00,513.92,514.11,513.92,514.07,0
44,2024-08-23 07:40:00,514.09,514.15,514.05,514.05,0
45,2024-08-23 07:45:00,514.09,514.14,514.09,514.14,0
46,2024-08-23 07:50:00,514.14,514.14,514.0,514.0,0
47,2024-08-23 07:55:00,514.04,514.21,514.04,514.21,0
48,2024-08-23 08:00:00,514.29,514.29,512.26,514.26,0
49,2024-08-23 08:05:00,514.23,514.37,514.17,514.22,0
50,2024-08-23 08:10:00,514.22,514.26,514.01,514.07,0
51,2024-08-23 08:15:00,514.1,514.1196,513.995,513.995,0
52,2024-08-23 08:20:00,514.01,514.17,513.96,514.01,0
53,2024-08-23 08:25:00,514.0496,514.0496,513.85,513.97,0
54,2024-08-23 08:30:00,513.9117,514.18,513.9117,514.08,0
55,2024-08-23 08:35:00,514.14,514.26,514.01,514.22,0
56,2024-08-23 08:40:00,514.2296,514.34,514.2,514.25,0
57,2024-08-23 08:45:00,514.245,514.48,511.13,514.48,0
58,2024-08-23 08:50:00,514.415,514.5286,514.38,514.46,0
59,2024-08-23 08:55:00,514.44,514.561,514.36,514.48,0
60,2024-08-23 09:00:00,514.47,514.62,514.435,514.62,0
61,2024-08-23 09:05:00,514.61,514.67,514.5,514.52,0
62,2024-08-23 09:10:00,514.535,514.63,514.5,514.59,0
63,2024-08-23 09:30:00,514.3300170898438,514.3300170898438,513.6900024414062,513.914794921875,180162
64,2024-08-23 09:35:00,513.947021484375,514.3795776367188,513.9299926757812,514.3200073242188,42205
65,2024-08-23 09:40:00,514.3400268554688,514.3900146484375,513.969970703125,514.0,59308
66,2024-08-23 09:45:00,514.2000122070312,514.510009765625,514.1799926757812,514.39501953125,38938
67,2024-08-23 09:50:00,514.4382934570312,514.4382934570312,513.93212890625,514.3250122070312,36985
68,2024-08-23 09:55:00,514.4000244140625,514.530029296875,514.1876220703125,514.47998046875,46357
69,2024-08-23 10:00:00,514.5800170898438,516.6900024414062,514.5800170898438,516.2899169921875,120040
70,2024-08-23 10:05:00,516.2899780273438,516.669921875,515.2849731445312,516.5900268554688,65504
71,2024-08-23 10:10:00,516.6849975585938,517.5499877929688,516.6400146484375,516.8350219726562,86516
72,2024-08-23 10:15:00,516.9600219726562,517.219970703125,515.3530883789062,515.8200073242188,89195
73,2024-08-23 10:20:00,515.8200073242188,517.2869873046875,515.5662231445312,517.260009765625,84533
74,2024-08-23 10:25:00,517.0800170898438,517.5280151367188,516.7100219726562,517.2868041992188,52246
